Deviations from arithmetic mean (0.343798)
Index	Value	Deviation	Deviation^2
------------------------------------------------
0	0.350600	0.006802	0.000046
1	0.351000	0.007202	0.000052
2	0.351000	0.007202	0.000052
3	0.350700	0.006902	0.000048
4	0.351400	0.007602	0.000058
5	0.350800	0.007002	0.000049
6	0.351500	0.007702	0.000059
7	0.351000	0.007202	0.000052
8	0.350600	0.006802	0.000046
9	0.349900	0.006102	0.000037
10	0.350300	0.006502	0.000042
11	0.350500	0.006702	0.000045
12	0.350300	0.006502	0.000042
13	0.350600	0.006802	0.000046
14	0.350700	0.006902	0.000048
15	0.350800	0.007002	0.000049
16	0.350600	0.006802	0.000046
17	0.350400	0.006602	0.000044
18	0.350700	0.006902	0.000048
19	0.351100	0.007302	0.000053
20	0.351200	0.007402	0.000055
21	0.350900	0.007102	0.000050
22	0.351000	0.007202	0.000052
23	0.350900	0.007102	0.000050
24	0.351100	0.007302	0.000053
25	0.351400	0.007602	0.000058
26	0.350800	0.007002	0.000049
27	0.350900	0.007102	0.000050
28	0.350800	0.007002	0.000049
29	0.350600	0.006802	0.000046
30	0.350200	0.006402	0.000041
31	0.350000	0.006202	0.000038
32	0.350400	0.006602	0.000044
33	0.350100	0.006302	0.000040
34	0.350000	0.006202	0.000038
35	0.349800	0.006002	0.000036
36	0.350800	0.007002	0.000049
37	0.351100	0.007302	0.000053
38	0.351100	0.007302	0.000053
39	0.351000	0.007202	0.000052
40	0.351100	0.007302	0.000053
41	0.351200	0.007402	0.000055
42	0.351300	0.007502	0.000056
43	0.350600	0.006802	0.000046
44	0.350800	0.007002	0.000049
45	0.350400	0.006602	0.000044
46	0.349800	0.006002	0.000036
47	0.349400	0.005602	0.000031
48	0.349700	0.005902	0.000035
49	0.350800	0.007002	0.000049
------------------------------------------------
Arithmetic mean: 0.343798
Total measurements: 50
